11区	(11 qū)
卜问	(bǔ wèn)
卜宅	(bǔ zhái)
卜占	(bǔ zhān)
卜征	(bǔ zhēng)
卜昼卜夜	(bǔ zhòu bǔ yè)
啵	(bō)
啵啵	(bō bō)
卟	(bǔ)
卟啉	(bǔ lín)
捕	(bǔ)
捕虫叶	(bǔ chóng yè)
捕风捉影	(bǔ fēng zhuō yǐng)
捕俘	(bǔ fú)
捕获	(bǔ huò)
捕鲸	(bǔ jīng)
捕鲸船	(bǔ jīng chuán)
捕快	(bǔ kuài)
捕捞	(bǔ lāo)
捕猎	(bǔ liè)
捕虏岩	(bǔ lǔ yán)
捕拿	(bǔ ná)
捕鸟蛛	(bǔ niǎo zhū)
捕禽人	(bǔ qín rén)
捕杀	(bǔ shā)
捕食	(bǔ shí)
捕食者	(bǔ shí zhě)
捕手	(bǔ shǒu)
捕鼠器	(bǔ shǔ qì)
捕头	(bǔ tóu)
捕蝇草	(bǔ yíng cǎo)
捕鱼	(bǔ yú)
捕捉	(bǔ zhuō)
哺	(bǔ)
哺母乳	(bǔ mǔ rǔ)
哺乳	(bǔ rǔ)
哺乳动物	(bǔ rǔ dòng wù)
哺乳纲	(bǔ rǔ gāng)
哺乳类	(bǔ rǔ lèi)
哺乳类动物	(bǔ rǔ lèi dòng wù)
哺乳期	(bǔ rǔ qī)
哺养	(bǔ yǎng)
哺育	(bǔ yù)
不	(bù)
不安	(bù ān)
不安分	(bù ān fen)
不安好心	(bù ān hǎo xīn)
不安其室	(bù ān qí shì)
不谙世故	(bù ān shì gù)
不谙水性	(bù ān shuǐ xìng)
不白之冤	(bù bái zhī yuān)
不败之地	(bù bài zhī dì)
不饱和	(bù bǎo hé)
不饱和脂肪酸	(bù bǎo hé zhī fáng suān)
不卑不亢	(bù bēi bù kàng)
不备	(bù bèi)
不比	(bù bǐ)
不必	(bù bì)
不必要	(bù bì yào)
不避斧钺	(bù bì fǔ yuè)
不避艰险	(bù bì jiān xiǎn)
不变	(bù biàn)
不变价格	(bù biàn jià gé)
不变量	(bù biàn liàng)
不变资本	(bù biàn zī běn)
不便	(bù biàn)
不便险	(bù biàn xiǎn)
不辨菽麦	(bù biàn shū mài)
不标准	(bù biāo zhǔn)
不才	(bù cái)
不材	(bù cái)
不测	(bù cè)
不曾	(bù céng)
不插电	(bù chā diàn)
不差	(bù chā)
不成	(bù chéng)
不成材	(bù chéng cái)
不成功便成仁	(bù chéng gōng biàn chéng rén)
不成体统	(bù chéng tǐ tǒng)
不成文	(bù chéng wén)
不成文法	(bù chéng wén fǎ)
不成样子	(bù chéng yàng zi)
不承认主义	(bù chéng rèn zhǔ yì)
不逞之徒	(bù chěng zhī tú)
不齿	(bù chǐ)
不耻下问	(bù chǐ xià wèn)
不啻	(bù chì)
不啻天渊	(bù chì tiān yuān)
不瞅不睬	(bù chǒu bù cǎi)
不出所料	(bù chū suǒ liào)
不触目	(bù chù mù)
不揣冒昧	(bù chuǎi mào mèi)
不辍	(bù chuò)
不辞而别	(bù cí ér bié)
不辞劳苦	(bù cí láo kǔ)
不辞辛苦	(bù cí xīn kǔ)
不凑巧	(bù còu qiǎo)
不错	(bù cuò)
不打不成才	(bù dǎ bù chéng cái)
不打不成器	(bù dǎ bù chéng qì)
不打不成相识	(bù dǎ bù chéng xiāng shí)
不打不相识	(bù dǎ bù xiāng shí)
不打紧	(bù dǎ jǐn)
不打自招	(bù dǎ zì zhāo)
不大	(bù dà)
不大离	(bù dà lí)
不大离儿	(bù dà lí r)
不逮捕特权	(bù dài bǔ tè quán)
不带	(bù dài)
不带电	(bù dài diàn)
不待说	(bù dài shuō)
不怠	(bù dài)
不丹	(bù dān)
不单	(bù dān)
不但	(bù dàn)
不惮	(bù dàn)
不当	(bù dàng)
不当得利	(bù dàng dé lì)
不当家不知柴米贵	(bù dāng jiā bù zhī chái mǐ guì)
不当紧	(bù dāng jǐn)
不当事	(bù dāng shì)
不当一回事	(bù dàng yī huí shì)
不到	(bù dào)
不到黄河心不死	(bù dào huáng hé xīn bù sǐ)
不到火候不揭锅	(bù dào huǒ hòu bù jiē guō)
不到长城非好汉	(bù dào cháng chéng fēi hǎo hàn)
不倒翁	(bù dǎo wēng)
不道德	(bù dào dé)
不得	(bù dé)
不得不	(bù dé bù)
不得而知	(bù dé ér zhī)
不得劲	(bù dé jìn)
不得了	(bù dé liǎo)
不得其门而入	(bù dé qí mén ér rù)
不得人心	(bù dé rén xīn)
不得要领	(bù dé yào lǐng)
不得已	(bù dé yǐ)
不得已而为之	(bù dé yǐ ér wéi zhī)
不登大雅之堂	(bù dēng dà yǎ zhī táng)
不等	(bù děng)
不等边三角形	(bù děng biān sān jiǎo xíng)
不等号	(bù děng hào)
不等价交换	(bù děng jià jiāo huàn)
不等式	(bù děng shì)
不敌	(bù dí)
不抵抗主义	(bù dǐ kàng zhǔ yì)
不第	(bù dì)
不调和	(bù tiáo hé)
不迭	(bù dié)
不定	(bù dìng)
不定词	(bù dìng cí)
不定方程	(bù dìng fāng chéng)
不定冠词	(bù dìng guàn cí)
不定积分	(bù dìng jī fēn)
不定期	(bù dìng qī)
不定式	(bù dìng shì)
不定形	(bù dìng xíng)
不定元	(bù dìng yuán)
不懂装懂	(bù dǒng zhuāng dǒng)
不动	(bù dòng)
不动产	(bù dòng chǎn)
不动点	(bù dòng diǎn)
不动点定理	(bù dòng diǎn dìng lǐ)
不动声色	(bù dòng shēng sè)
不动摇	(bù dòng yáo)
不冻港	(bù dòng gǎng)
不独	(bù dú)
不端	(bù duān)
不断	(bù duàn)
不对	(bù duì)
不对碴儿	(bù duì chá r)
不对称	(bù duì chèn)
不对劲	(bù duì jìn)
不对劲儿	(bù duì jìn r)
不对盘	(bù duì pán)
不对头	(bù duì tóu)
不儿道	(bū r dào)
不二	(bù èr)
不二法门	(bù èr fǎ mén)
不二价	(bù èr jià)
不贰过	(bù èr guò)
不乏	(bù fá)
不法	(bù fǎ)
不法分子	(bù fǎ fèn zǐ)
不凡	(bù fán)
不方便	(bù fāng biàn)
不妨	(bù fáng)
不菲	(bù fěi)
不悱不发	(bù fěi bù fā)
不费吹灰之力	(bù fèi chuī huī zhī lì)
不费事	(bù fèi shì)
不分	(bù fēn)
不分彼此	(bù fēn bǐ cǐ)
不分伯仲	(bù fēn bó zhòng)
不分高下	(bù fēn gāo xià)
不分青红皂白	(bù fēn qīng hóng zào bái)
不分情由	(bù fēn qíng yóu)
不分上下	(bù fēn shàng xià)
不分胜败	(bù fēn shèng bài)
不分胜负	(bù fēn shèng fù)
不分系	(bù fēn xì)
不分轩轾	(bù fēn xuān zhì)
不分皂白	(bù fēn zào bái)
不分昼夜	(bù fēn zhòu yè)
不忿	(bù fèn)
不愤不启	(bù fèn bù qǐ)
不孚众望	(bù fú zhòng wàng)
不服	(bù fú)
不服气	(bù fú qì)
不服水土	(bù fú shuǐ tǔ)
不符	(bù fú)
不负	(bù fù)
不负众望	(bù fù zhòng wàng)
不复	(bù fù)
不该	(bù gāi)
不甘	(bù gān)
不甘后人	(bù gān hòu rén)
不甘寂寞	(bù gān jì mò)
不甘人后	(bù gān rén hòu)
不甘示弱	(bù gān shì ruò)
不甘心	(bù gān xīn)
不甘于	(bù gān yú)
不敢当	(bù gǎn dāng)
不敢高攀	(bù gǎn gāo pān)
不敢恭维	(bù gǎn gōng wei)
不敢苟同	(bù gǎn gǒu tóng)
不敢越雷池一步	(bù gǎn yuè léi chí yī bù)
不敢自专	(bù gǎn zì zhuān)
不干不净	(bù gān bù jìng)
不干不净，吃了没病	(bù gān bù jìng , chī le méi bìng)
不干涉	(bù gān shè)
不给力	(bù gěi lì)
不公	(bù gōng)
不攻自破	(bù gōng zì pò)
不恭	(bù gōng)
不共戴天	(bù gòng dài tiān)
不苟	(bù gǒu)
不够	(bù gòu)
不顾	(bù gù)
不顾大局	(bù gù dà jú)
不顾前后	(bù gù qián hòu)
不顾一切	(bù gù yī qiè)
不关痛痒	(bù guān tòng yǎng)
不管	(bù guǎn)
不管白猫黑猫，捉住老鼠就是好猫	(bù guǎn bái māo hēi māo , zhuō zhù lǎo shǔ jiù shì hǎo māo)
不管不顾	(bù guǎn bù gù)
不管三七二十一	(bù guǎn sān qī èr shí yī)
不管怎样	(bù guǎn zěn yàng)
不光	(bù guāng)
不光彩	(bù guāng cǎi)
不归路	(bù guī lù)
不规范	(bù guī fàn)
不规则	(bù guī zé)
不规则三角形	(bù guī zé sān jiǎo xíng)
不规则四边形	(bù guī zé sì biān xíng)
不轨	(bù guǐ)
不过	(bù guò)
不过尔尔	(bù guò ěr ěr)
不过如此	(bù guò rú cǐ)
不过意	(bù guò yì)
不含糊	(bù hán hu)
不寒而栗	(bù hán ér lì)
不好	(bù hǎo)
不好惹	(bù hǎo rě)
不好受	(bù hǎo shòu)
不好说	(bù hǎo shuō)
不好意思	(bù hǎo yì si)
不合	(bù hé)
不合法	(bù hé fǎ)
不合理	(bù hé lǐ)
不合时宜	(bù hé shí yí)
不合体统	(bù hé tǐ tǒng)
不合作	(bù hé zuò)
不和	(bù hé)
不很	(bù hěn)
不划算	(bù huá suàn)
不怀好意	(bù huái hǎo yì)
不欢而散	(bù huān ér sàn)
不患寡而患不均	(bù huàn guǎ ér huàn bù jūn)
不慌不忙	(bù huāng bù máng)
不遑	(bù huáng)
不遑多让	(bù huáng duō ràng)
不会	(bù huì)
不讳	(bù huì)
不惑	(bù huò)
不羁	(bù jī)
不及	(bù jí)
不及格	(bù jí gé)
不及物动词	(bù jí wù dòng cí)
不吉	(bù jí)
不吉利	(bù jí lì)
不即不离	(bù jí bù lí)
不急之务	(bù jí zhī wù)
不疾不徐	(bù jí bù xú)
不计	(bù jì)
不计其数	(bù jì qí shù)
不记名投票	(bù jì míng tóu piào)
不济	(bù jì)
不加	(bù jiā)
不加拘束	(bù jiā jū shù)
不加理睬	(bù jiā lǐ cǎi)
不加区别	(bù jiā qū bié)
不加修饰	(bù jiā xiū shì)
不加选择	(bù jiā xuǎn zé)
不加掩饰	(bù jiā yǎn shì)
不佳	(bù jiā)
不假思索	(bù jiǎ sī suǒ)
不兼容性	(bù jiān róng xìng)
不减当年	(bù jiǎn dāng nián)
不简单	(bù jiǎn dān)
不见	(bù jiàn)
不见不散	(bù jiàn bù sàn)
不见得	(bù jiàn de)
不见棺材不落泪	(bù jiàn guān cai bù luò lèi)
不见经传	(bù jiàn jīng zhuàn)
不见了	(bù jiàn le)
不见天日	(bù jiàn tiān rì)
不见兔子不撒鹰	(bù jiàn tù zi bù sā yīng)
不见一点踪影	(bù jiàn yī diǎn zōng yǐng)
不结盟	(bù jié méng)
不结盟运动	(bù jié méng yùn dòng)
不解	(bù jiě)
不解风情	(bù jiě fēng qíng)
不仅	(bù jǐn)
不仅仅	(bù jǐn jǐn)
不仅如此	(bù jǐn rú cǐ)
不尽	(bù jìn)
不尽根	(bù jìn gēn)
不尽然	(bù jìn rán)
不紧不慢	(bù jǐn bù màn)
不近人情	(bù jìn rén qíng)
不禁	(bù jīn)
不经一事，不长一智	(bù jīng yī shì , bù zhǎng yī zhì)
不经意	(bù jīng yì)
不经意间	(bù jīng yì jiān)
不经之谈	(bù jīng zhī tán)
不景气	(bù jǐng qì)
不胫而走	(bù jìng ér zǒu)
不敬	(bù jìng)
不久	(bù jiǔ)
不久前	(bù jiǔ qián)
不咎既往	(bù jiù jì wǎng)
不拘	(bù jū)
不拘小节	(bù jū xiǎo jié)
不拘一格	(bù jū yī gé)
不举	(bù jǔ)
不倦	(bù juàn)
不觉	(bù jué)
不绝	(bù jué)
不绝如缕	(bù jué rú lǚ)
不绝于耳	(bù jué yú ěr)
不绝于途	(bù jué yú tú)
不均	(bù jūn)
不开窍	(bù kāi qiào)
不刊之论	(bù kān zhī lùn)
不堪	(bù kān)
不堪忍受	(bù kān rěn shòu)
不堪入目	(bù kān rù mù)
不堪设想	(bù kān shè xiǎng)
不堪一击	(bù kān yī jī)
不看僧面看佛面	(bù kàn sēng miàn kàn fó miàn)
不亢不卑	(bù kàng bù bēi)
不可	(bù kě)
不可避免	(bù kě bì miǎn)
不可撤销信用证	(bù kě chè xiāo xìn yòng zhèng)
不可导	(bù kě dǎo)
不可端倪	(bù kě duān ní)
不可多得	(bù kě duō dé)
不可分割	(bù kě fēn gē)
不可分离	(bù kě fēn lí)
不可告人	(bù kě gào rén)
不可估量	(bù kě gū liàng)
不可或缺	(bù kě huò quē)
不可解	(bù kě jiě)
不可开交	(bù kě kāi jiāo)
不可抗拒	(bù kě kàng jù)
不可抗力	(bù kě kàng lì)
不可理喻	(bù kě lǐ yù)
不可枚举	(bù kě méi jǔ)
不可名状	(bù kě míng zhuàng)
不可磨灭	(bù kě mó miè)
不可能	(bù kě néng)
不可逆	(bù kě nì)
不可逆转	(bù kě nì zhuǎn)
不可侵犯	(bù kě qīn fàn)
不可缺少	(bù kě quē shǎo)
不可少	(bù kě shǎo)
不可胜数	(bù kě shèng shǔ)
不可胜言	(bù kě shèng yán)
不可收拾	(bù kě shōu shi)
不可数	(bù kě shǔ)
不可数集	(bù kě shuò jí)
不可数名词	(bù kě shǔ míng cí)
不可思议	(bù kě sī yì)
不可同日而语	(bù kě tóng rì ér yǔ)
不可挽回	(bù kě wǎn huí)
不可言喻	(bù kě yán yù)
不可一世	(bù kě yī shì)
不可以	(bù kě yǐ)
不可逾越	(bù kě yú yuè)
不可知论	(bù kě zhī lùn)
不可置信	(bù kě zhì xìn)
不可终日	(bù kě zhōng rì)
不克	(bù kè)
不客气	(bù kè qi)
不空成就佛	(bù kōng chéng jiù fó)
不快	(bù kuài)
不匮	(bù kuì)
不愧	(bù kuì)
不愧不怍	(bù kuì bù zuò)
不愧下学	(bù kuì xià xué)
不扩散核武器条约	(bù kuò sàn hé wǔ qì tiáo yuē)
不拉叽	(bù lā jī)
不拉几	(bù lā jī)
不来梅	(bù lái méi)
不来梅港	(bù lái méi gǎng)
不莱梅	(bù lái méi)
不赖	(bù lài)
不稂不莠	(bù láng bù yǒu)
不劳而获	(bù láo ér huò)
不了	(bù liǎo)
不了了之	(bù liǎo liǎo zhī)
不离不弃	(bù lí bù qì)
不离儿	(bù lí r)
不理	(bù lǐ)
不理不睬	(bù lǐ bù cǎi)
不力	(bù lì)
不利	(bù lì)
不连续	(bù lián xù)
不连续面	(bù lián xù miàn)
不良	(bù liáng)
不良倾向	(bù liáng qīng xiàng)
不良人	(bù liáng rén)
不料	(bù liào)
不列颠	(bù liè diān)
不列颠哥伦比亚	(bù liè diān gē lún bǐ yà)
不列颠哥伦比亚省	(bù liè diān gē lún bǐ yà shěng)
不列颠战役	(bù liè diān zhàn yì)
不列颠诸岛	(bù liè diān zhū dǎo)
不吝	(bù lìn)
不吝赐教	(bù lìn cì jiào)
不吝珠玉	(bù lìn zhū yù)
不灵	(bù líng)
不露声色	(bù lù shēng sè)
不伦	(bù lún)
不伦不类	(bù lún bù lèi)
不论	(bù lùn)
不落痕迹	(bù luò hén jì)
不落窠臼	(bù luò kē jiù)
不落俗套	(bù luò sú tào)
不满	(bù mǎn)
不满意	(bù mǎn yì)
不忙	(bù máng)
不毛	(bù máo)
不毛之地	(bù máo zhī dì)
不眠不休	(bù mián bù xiū)
不免	(bù miǎn)
不免一死	(bù miǎn yī sǐ)
不妙	(bù miào)
不名数	(bù míng shù)
不名一钱	(bù míng yī qián)
不名一文	(bù míng yī wén)
不名誉	(bù míng yù)
不明	(bù míng)
不明不白	(bù míng bù bái)
不明飞行物	(bù míng fēi xíng wù)
不明就里	(bù míng jiù lǐ)
不明觉厉	(bù míng jué lì)
不明确	(bù míng què)
不明事理	(bù míng shì lǐ)
不摸头	(bù mō tóu)
不谋而合	(bù móu ér hé)
不睦	(bù mù)
不耐烦	(bù nài fán)
不耐受	(bù nài shòu)
不能	(bù néng)
不能不	(bù néng bù)
不能自已	(bù néng zì yǐ)
不念旧恶	(bù niàn jiù è)
不佞	(bù nìng)
不怒而威	(bù nù ér wēi)
不怕	(bù pà)
不怕不识货，就怕货比货	(bù pà bù shí huò , jiù pà huò bǐ huò)
不怕不识货，只怕货比货	(bù pà bù shí huò , zhǐ pà huò bǐ huò)
不怕官，只怕管	(bù pà guān , zhǐ pà guǎn)
不怕慢，就怕站	(bù pà màn , jiù pà zhàn)
不怕神一样的对手，就怕猪一样的队友	(bù pà shén yī yàng de duì shǒu , jiù pà zhū yī yàng de duì yǒu)
不怕一万，就怕万一	(bù pà yī wàn , jiù pà wàn yī)
不怕贼偷就怕贼惦记	(bù pà zéi tōu jiù pà zéi diàn jì)
不偏不倚	(bù piān bù yǐ)
不偏斜	(bù piān xié)
不平	(bù píng)
不平常	(bù píng cháng)
不平等	(bù píng děng)
不平等条约	(bù píng děng tiáo yuē)
不平凡	(bù píng fán)
不平衡	(bù píng héng)
不平则鸣	(bù píng zé míng)
不破不立	(bù pò bù lì)
不期	(bù qī)
不期而遇	(bù qī ér yù)
不期而至	(bù qī ér zhì)
不期然而然	(bù qī rán ér rán)
不起眼	(bù qǐ yǎn)
不起眼儿	(bù qǐ yǎn r)
不巧	(bù qiǎo)
不切合实际	(bù qiè hé shí jì)
不切实际	(bù qiè shí jì)
不轻饶	(bù qīng ráo)
不清	(bù qīng)
不清楚	(bù qīng chu)
不情愿	(bù qíng yuàn)
不情之请	(bù qíng zhī qǐng)
不请自来	(bù qǐng zì lái)
不穷	(bù qióng)
不求人	(bù qiú rén)
不求甚解	(bù qiú shèn jiě)
不求收获	(bù qiú shōu huò)
不求有功，但求无过	(bù qiú yǒu gōng , dàn qiú wú guò)
不区分大小写	(bù qū fēn dà xiǎo xiě)
不屈	(bù qū)
不屈不挠	(bù qū bù náo)
不去理	(bù qù lǐ)
不确定性原理	(bù què dìng xìng yuán lǐ)
不确实	(bù què shí)
不然	(bù rán)
不让须眉	(bù ràng xū méi)
不人道	(bù rén dào)
不仁	(bù rén)
不忍	(bù rěn)
不忍心	(bù rěn xīn)
不日	(bù rì)
不容	(bù róng)
不容小觑	(bù róng xiǎo qù)
不容置辩	(bù róng zhì biàn)
不容置疑	(bù róng zhì yí)
不溶	(bù róng)
不如	(bù rú)
不如人意	(bù rú rén yì)
不入虎穴，焉得虎子	(bù rù hǔ xué , yān dé hǔ zǐ)
不入时宜	(bù rù shí yí)
不若	(bù ruò)
不三不四	(bù sān bù sì)
不善	(bù shàn)
不伤脾胃	(bù shāng pí wèi)
不少	(bù shǎo)
不舍	(bù shě)
不甚	(bù shèn)
不慎	(bù shèn)
不声不响	(bù shēng bù xiǎng)
不省人事	(bù xǐng rén shì)
不胜	(bù shèng)
不胜酒力	(bù shèng jiǔ lì)
不胜枚举	(bù shèng méi jǔ)
不胜其烦	(bù shèng qí fán)
不胜其苦	(bù shèng qí kǔ)
不胜其扰	(bù shèng qí rǎo)
不失	(bù shī)
不失时机	(bù shī shí jī)
不失为	(bù shī wéi)
不时	(bù shí)
不时之需	(bù shí zhī xū)
不识大体	(bù shí dà tǐ)
不识高低	(bù shí gāo dī)
不识好歹	(bù shí hǎo dǎi)
不识庐山真面目	(bù shí lú shān zhēn miàn mù)
不识时变	(bù shí shí biàn)
不识时务	(bù shí shí wù)
不识抬举	(bù shí tái jǔ)
不识泰山	(bù shí tài shān)
不识一丁	(bù shí yī dīng)
不识字	(bù shí zì)
不实	(bù shí)
不食人间烟火	(bù shí rén jiān yān huǒ)
不事生产	(bù shì shēng chǎn)
不事张扬	(bù shì zhāng yáng)
不是	(bù shì)
不是吃素的	(bù shì chī sù de)
不是东西	(bù shì dōng xi)
不是吗	(bù shì ma)
不是味儿	(bù shì wèi r)
不是一家人不进一家门	(bù shì yī jiā rén bù jìn yī jiā mén)
不是鱼死就是网破	(bù shì yú sǐ jiù shì wǎng pò)
不是冤家不聚头	(bù shì yuān jiā bù jù tóu)
不是滋味	(bù shì zī wèi)
不适	(bù shì)
不适当	(bù shì dàng)
不首先使用	(bù shǒu xiān shǐ yòng)
不受欢迎	(bù shòu huān yíng)
不舒服	(bù shū fu)
不舒适	(bù shū shì)
不衰	(bù shuāi)
不爽	(bù shuǎng)
不顺	(bù shùn)
不说自明	(bù shuō zì míng)
不死不休	(bù sǐ bù xiū)
不死心	(bù sǐ xīn)
不死药	(bù sǐ yào)
不送	(bù sòng)
不送气	(bù sòng qì)
不俗	(bù sú)
不速	(bù sù)
不速而至	(bù sù ér zhì)
不速之客	(bù sù zhī kè)
不算	(bù suàn)
不随意	(bù suí yì)
不随意肌	(bù suí yì jī)
不遂	(bù suì)
不碎玻璃	(bù suì bō li)
不太好	(bù tài hǎo)
不特	(bù tè)
不提也罢	(bù tí yě bà)
不题	(bù tí)
不体面	(bù tǐ miàn)
不听老人言，吃亏在眼前	(bù tīng lǎo rén yán , chī kuī zài yǎn qián)
不听命	(bù tīng mìng)
不停	(bù tíng)
不通	(bù tōng)
不同	(bù tóng)
不同凡响	(bù tóng fán xiǎng)
不同寻常	(bù tóng xún cháng)
不痛不痒	(bù tòng bù yǎng)
不偷不抢	(bù tōu bù qiǎng)
不透明	(bù tòu míng)
不透气	(bù tòu qì)
不透水	(bù tòu shuǐ)
不图	(bù tú)
不吐不快	(bù tǔ bù kuài)
不吐气	(bù tǔ qì)
不妥	(bù tuǒ)
不妥协	(bù tuǒ xié)
不外	(bù wài)
不外乎	(bù wài hū)
不外露	(bù wài lù)
不完全归纳推理	(bù wán quán guī nà tuī lǐ)
不完全叶	(bù wán quán yè)
不完善	(bù wán shàn)
不枉	(bù wǎng)
不违农时	(bù wéi nóng shí)
不惟	(bù wéi)
不韪	(bù wěi)
不为过	(bù wéi guò)
不为酒困	(bù wéi jiǔ kùn)
不为人知	(bù wéi rén zhī)
不为所动	(bù wéi suǒ dòng)
不为已甚	(bù wéi yǐ shèn)
不为左右袒	(bù wèi zuǒ yòu tǎn)
不畏	(bù wèi)
不畏强暴	(bù wèi qiáng bào)
不畏强权	(bù wèi qiáng quán)
不谓	(bù wèi)
不温不火	(bù wēn bù huǒ)
不闻不问	(bù wén bù wèn)
不稳	(bù wěn)
不稳平衡	(bù wěn píng héng)
不稳性	(bù wěn xìng)
不问	(bù wèn)
不问青红皂白	(bù wèn qīng hóng zào bái)
不无	(bù wú)
不无小补	(bù wú xiǎo bǔ)
不务正业	(bù wù zhèng yè)
不误	(bù wù)
不息	(bù xī)
不惜	(bù xī)
不惜血本	(bù xī xuè běn)
不惜一战	(bù xī yī zhàn)
不喜勿喷	(bù xǐ wù pēn)
不暇	(bù xiá)
不下	(bù xià)
不下于	(bù xià yú)
不显山不露水	(bù xiǎn shān bù lù shuǐ)
不相符	(bù xiāng fú)
不相干	(bù xiāng gān)
不相容	(bù xiāng róng)
不相容原理	(bù xiāng róng yuán lǐ)
不相上下	(bù xiāng shàng xià)
不香吗	(bù xiāng ma)
不详	(bù xiáng)
不祥	(bù xiáng)
不祥之兆	(bù xiáng zhī zhào)
不想	(bù xiǎng)
不象话	(bù xiàng huà)
不像话	(bù xiàng huà)
不像样	(bù xiàng yàng)
不消	(bù xiāo)
不孝	(bù xiào)
不孝有三，无后为大	(bù xiào yǒu sān , wú hòu wéi dà)
不肖	(bù xiào)
不协调	(bù xié tiáo)
不屑	(bù xiè)
不屑一顾	(bù xiè yī gù)
不谢	(bù xiè)
不懈	(bù xiè)
不懈怠	(bù xiè dài)
不信任案	(bù xìn rèn àn)
不信任动议	(bù xìn rèn dòng yì)
不信任投票	(bù xìn rèn tóu piào)
不行	(bù xíng)
不行了	(bù xíng le)
不兴	(bù xīng)
不幸	(bù xìng)
不幸言中	(bù xìng yán zhòng)
不幸之事	(bù xìng zhī shì)
不幸之幸	(bù xìng zhī xìng)
不休	(bù xiū)
不修边幅	(bù xiū biān fú)
不朽	(bù xiǔ)
不锈钢	(bù xiù gāng)
不锈铁	(bù xiù tiě)
不虚此行	(bù xū cǐ xíng)
不许	(bù xǔ)
不恤	(bù xù)
不恤人言	(bù xù rén yán)
不宣而战	(bù xuān ér zhàn)
不学无术	(bù xué wú shù)
不逊	(bù xùn)
不雅	(bù yǎ)
不雅观	(bù yǎ guān)
不亚	(bù yà)
不亚于	(bù yà yú)
不言不语	(bù yán bù yǔ)
不言而喻	(bù yán ér yù)
不言自明	(bù yán zì míng)
不厌	(bù yàn)
不厌其烦	(bù yàn qí fán)
不要	(bù yào)
不要紧	(bù yào jǐn)
不要脸	(bù yào liǎn)
不要在一棵树上吊死	(bù yào zài yī kē shù shàng diào sǐ)
不一	(bù yī)
不一定	(bù yī dìng)
不一而足	(bù yī ér zú)
不一会	(bù yī huì)
不一样	(bù yī yàng)
不一致字	(bù yī zhì zì)
不依	(bù yī)
不依不饶	(bù yī bù ráo)
不宜	(bù yí)
不移	(bù yí)
不遗余力	(bù yí yú lì)
不已	(bù yǐ)
不以词害志	(bù yǐ cí hài zhì)
不以辞害志	(bù yǐ cí hài zhì)
不以规矩，不能成方圆	(bù yǐ guī ju , bù néng chéng fāng yuán)
不以人废言	(bù yǐ rén fèi yán)
不以为然	(bù yǐ wéi rán)
不以为意	(bù yǐ wéi yì)
不以物喜，不以己悲	(bù yǐ wù xǐ , bù yǐ jǐ bēi)
不义	(bù yì)
不义之财	(bù yì zhī cái)
不亦	(bù yì)
不亦乐乎	(bù yì lè hū)
不易	(bù yì)
不易之论	(bù yì zhī lùn)
不意	(bù yì)
不翼而飞	(bù yì ér fēi)
不应期	(bù yìng qī)
不用	(bù yòng)
不用客气	(bù yòng kè qi)
不用说	(bù yòng shuō)
不用谢	(bù yòng xiè)
不用找	(bù yòng zhǎo)
不由	(bù yóu)
不由得	(bù yóu de)
不由分说	(bù yóu fēn shuō)
不由自主	(bù yóu zì zhǔ)
不渝	(bù yú)
不愉快	(bù yú kuài)
不虞	(bù yú)
不虞匮乏	(bù yú kuì fá)
不予理会	(bù yǔ lǐ huì)
不予评论	(bù yǔ píng lùn)
不予置评	(bù yǔ zhì píng)
不语	(bù yǔ)
不育	(bù yù)
不育性	(bù yù xìng)
不育症	(bù yù zhèng)
不豫	(bù yù)
不圆通	(bù yuán tōng)
不远千里	(bù yuǎn qiān lǐ)
不愿	(bù yuàn)
不约而同	(bù yuē ér tóng)
不月	(bù yuè)
不悦	(bù yuè)
不越雷池	(bù yuè léi chí)
不孕	(bù yùn)
不孕症	(bù yùn zhèng)
不愠不火	(bù yùn bù huǒ)
不咋地	(bù zǎ de)
不咋的	(bù zǎ de)
不再	(bù zài)
不在	(bù zài)
不在乎	(bù zài hu)
不在话下	(bù zài huà xià)
不在了	(bù zài le)
不在其位，不谋其政	(bù zài qí wèi , bù móu qí zhèng)
不在意	(bù zài yì)
不在状态	(bù zài zhuàng tài)
不赞成	(bù zàn chéng)
不赞一词	(bù zàn yī cí)
不择手段	(bù zé shǒu duàn)
不怎么	(bù zěn me)
不怎么样	(bù zěn me yàng)
不沾锅	(bù zhān guō)
不粘锅	(bù zhān guō)
不战不和	(bù zhàn bù hé)
不长进	(bù zhǎng jìn)
不折不扣	(bù zhé bù kòu)
不着	(bù zháo)
不着边际	(bù zhuó biān jì)
不着痕迹	(bù zhuó hén jì)
不着陆飞行	(bù zhuó lù fēi xíng)
不振	(bù zhèn)
不争	(bù zhēng)
不争气	(bù zhēng qì)
不蒸馒头争口气	(bù zhēng mán tou zhēng kǒu qì)
不正常	(bù zhèng cháng)
不正当	(bù zhèng dàng)
不正当关系	(bù zhèng dàng guān xì)
不正当竞争	(bù zhèng dàng jìng zhēng)
不正确	(bù zhèng què)
不正之风	(bù zhèng zhī fēng)
不支	(bù zhī)
不知	(bù zhī)
不知不觉	(bù zhī bù jué)
不知丁董	(bù zhī dīng dǒng)
不知凡几	(bù zhī fán jǐ)
不知好歹	(bù zhī hǎo dǎi)
不知何故	(bù zhī hé gù)
不知进退	(bù zhī jìn tuì)
