11區	(11 qū)
大談	(dà tán)
大談特談	(dà tán tè tán)
大唐	(dà táng)
大唐芙蓉園	(dà táng fú róng yuán)
大堂	(dà táng)
大逃港	(dà táo gǎng)
大提琴	(dà tí qín)
大提琴手	(dà tí qín shǒu)
大題小作	(dà tí xiǎo zuò)
大體	(dà tǐ)
大體解剖學	(dà tǐ jiě pōu xué)
大體老師	(dà tǐ lǎo shī)
大體上	(dà tǐ shàng)
大天鵝	(dà tiān é)
大田廣域市	(dà tián guǎng yù shì)
大田市	(dà tián shì)
大田縣	(dà tián xiàn)
大條	(dà tiáo)
大廳	(dà tīng)
大庭廣眾	(dà tíng guǎng zhòng)
大通回族土族自治縣	(dà tōng huí zú tǔ zú zì zhì xiàn)
大通區	(dà tōng qū)
大同	(dà tóng)
大同區	(dà tóng qū)
大同市	(dà tóng shì)
大同鄉	(dà tóng xiāng)
大同小異	(dà tóng xiǎo yì)
大桶	(dà tǒng)
大頭	(dà tóu)
大頭兵	(dà tóu bīng)
大頭釘	(dà tóu dīng)
大頭目	(dà tóu mù)
大頭貼	(dà tóu tiē)
大頭照	(dà tóu zhào)
大屠殺	(dà tú shā)
大腿	(dà tuǐ)
大腿襪	(dà tuǐ wà)
大吞噬細胞	(dà tūn shì xì bāo)
大屯火山群	(dà tún huǒ shān qún)
大窪區	(dà wā qū)
大外	(dà wài)
大外宣	(dà wài xuān)
大宛	(dà yuān)
大晚上	(dà wǎn shang)
大腕	(dà wàn)
大腕兒	(dà wàn r)
大王	(dà wáng)
大為	(dà wéi)
大尾巴狼	(dà yǐ ba láng)
大偉	(dà wěi)
大葦鶯	(dà wěi yīng)
大胃王	(dà wèi wáng)
大尉	(dà wèi)
大衛	(dà wèi)
大衛·艾登堡	(dà wèi ài dēng bǎo)
大衛·米利班德	(dà wèi · mǐ lì bān dé)
大汶口文化	(dà wèn kǒu wén huà)
大我	(dà wǒ)
大烏蘇里島	(dà wū sū lǐ dǎo)
大烏鴉	(dà wū yā)
大無畏	(dà wú wèi)
大五趾跳鼠	(dà wǔ zhǐ tiào shǔ)
大武	(dà wǔ)
大武口區	(dà wǔ kǒu qū)
大武鄉	(dà wǔ xiāng)
大悟縣	(dà wù xiàn)
大霧	(dà wù)
大西	(dà xī)
大西庇阿	(dà xī bì ā)
大西國	(dà xī guó)
大西洋	(dà xī yáng)
大西洋國	(dà xī yáng guó)
大西洋洋中脊	(dà xī yáng yáng zhōng jǐ)
大西洋中脊	(dà xī yáng zhōng jǐ)
大溪地	(dà xī dì)
大溪豆乾	(dà xī dòu gān)
大喜	(dà xǐ)
大喜過望	(dà xǐ guò wàng)
大系	(dà xì)
大戲	(dà xì)
大蝦	(dà xiā)
大俠	(dà xiá)
大峽谷	(dà xiá gǔ)
大夏	(dà xià)
大仙	(dà xiān)
大仙鶲	(dà xiān wēng)
大先知書	(dà xiān zhī shū)
大顯身手	(dà xiǎn shēn shǒu)
大顯神通	(dà xiǎn shén tōng)
大限	(dà xiàn)
大限到來	(dà xiàn dào lái)
大限臨頭	(dà xiàn lín tóu)
大憲章	(dà xiàn zhāng)
大相徑庭	(dà xiāng jìng tíng)
大祥區	(dà xiáng qū)
大象	(dà xiàng)
大項	(dà xiàng)
大蕭條	(dà xiāo tiáo)
大小	(dà xiǎo)
大小便	(dà xiǎo biàn)
大小姐	(dà xiǎo jie)
大小三度	(dà xiǎo sān dù)
大小聲	(dà xiǎo shēng)
大小寫	(dà xiǎo xiě)
大小眼	(dà xiǎo yǎn)
大校	(dà xiào)
大笑	(dà xiào)
大寫	(dà xiě)
大寫鎖定	(dà xiě suǒ dìng)
大寫字母	(dà xiě zì mǔ)
大心	(dà xīn)
大新縣	(dà xīn xiàn)
大星芹	(dà xīng qín)
大猩猩	(dà xīng xing)
大行其道	(dà xíng qí dào)
大型	(dà xíng)
大型空爆炸彈	(dà xíng kōng bào zhà dàn)
大型強子對撞機	(dà xíng qiáng zǐ duì zhuàng jī)
大興	(dà xīng)
大興安嶺地區	(dà xīng ān lǐng dì qū)
大興安嶺山脈	(dà xīng ān lǐng shān mài)
大興機場	(dà xīng jī chǎng)
大興區	(dà xīng qū)
大興土木	(dà xīng tǔ mù)
大興問罪之師	(dà xīng wèn zuì zhī shī)
大雄	(dà xióng)
大雄寶殿	(dà xióng bǎo diàn)
大熊貓	(dà xióng māo)
大熊座	(dà xióng zuò)
大修	(dà xiū)
大修道院	(dà xiū dào yuàn)
大修道院長	(dà xiū dào yuàn zhǎng)
大選	(dà xuǎn)
大學	(dà xué)
大學本科	(dà xué běn kē)
大學部	(dà xué bù)
大學城	(dà xué chéng)
大學入學指定科目考試	(dà xué rù xué zhǐ dìng kē mù kǎo shì)
大學生	(dà xué shēng)
大學學科能力測驗	(dà xué xué kē néng lì cè yàn)
大學預科	(dà xué yù kē)
大雅	(dà yǎ)
大亞灣	(dà yà wān)
大煙	(dà yān)
大言	(dà yán)
大言不慚	(dà yán bù cán)
大眼瞪小眼	(dà yǎn dèng xiǎo yǎn)
大眼角	(dà yǎn jiǎo)
大雁	(dà yàn)
大雁塔	(dà yàn tǎ)
大羊駝	(dà yáng tuó)
大洋	(dà yáng)
大洋龍	(dà yáng lóng)
大洋型地殼	(dà yáng xíng dì qiào)
大洋中脊	(dà yáng zhōng jǐ)
大洋洲	(dà yáng zhōu)
大氧吧	(dà yǎng bā)
大樣	(dà yàng)
大姚縣	(dà yáo xiàn)
大搖大擺	(dà yáo dà bǎi)
大謠	(dà yáo)
大要	(dà yào)
大爺	(dà ye)
大冶市	(dà yě shì)
大野狼	(dà yě láng)
大夜	(dà yè)
大夜班	(dà yè bān)
大葉性肺炎	(dà yè xìng fèi yán)
大業	(dà yè)
大一	(dà yī)
大一統	(dà yī tǒng)
大一些	(dà yī xiē)
大衣	(dà yī)
大姨	(dà yí)
大姨媽	(dà yí mā)
大姨子	(dà yí zi)
大邑縣	(dà yì xiàn)
大意	(dà yì)
大意失荊州	(dà yi shī jīng zhōu)
大義	(dà yì)
大義凜然	(dà yì lǐn rán)
大義滅親	(dà yì miè qīn)
大印	(dà yìn)
大英	(dà yīng)
大英博物館	(dà yīng bó wù guǎn)
大英帝國	(dà yīng dì guó)
大英國協	(dà yīng guó xié)
大英聯合王國	(dà yīng lián hé wáng guó)
大英縣	(dà yīng xiàn)
大櫻桃	(dà yīng táo)
大庸	(dà yōng)
大勇若怯	(dà yǒng ruò qiè)
大勇若怯，大智若愚	(dà yǒng ruò qiè , dà zhì ruò yú)
大用	(dà yòng)
大油	(dà yóu)
大油菜	(dà yóu cài)
大有	(dà yǒu)
大有裨益	(dà yǒu bì yì)
大有可為	(dà yǒu kě wéi)
大有人在	(dà yǒu rén zài)
大有文章	(dà yǒu wén zhāng)
大有希望	(dà yǒu xī wàng)
大有學問	(dà yǒu xué wèn)
大有作為	(dà yǒu zuò wéi)
大於	(dà yú)
大魚大肉	(dà yú dà ròu)
大愚	(dà yú)
大餘縣	(dà yú xiàn)
大宇	(dà yǔ)
大雨	(dà yǔ)
大雨如注	(dà yǔ rú zhù)
大禹	(dà yǔ)
大庾嶺	(dà yǔ lǐng)
大嶼山	(dà yǔ shān)
大獄	(dà yù)
大元帥	(dà yuán shuài)
大員	(dà yuán)
大圓	(dà yuán)
大圓圈	(dà yuán quān)
大院	(dà yuàn)
大願地藏菩薩	(dà yuàn dì zàng pú sà)
大約	(dà yuē)
大月氏	(dà yuè zhī)
大月支	(dà yuè zhī)
大躍進	(dà yuè jìn)
大運	(dà yùn)
大韻	(dà yùn)
大雜燴	(dà zá huì)
大雜院	(dà zá yuàn)
大災	(dà zāi)
大灶	(dà zào)
大噪鶥	(dà zào méi)
大澤鄉起義	(dà zé xiāng qǐ yì)
大閘蟹	(dà zhá xiè)
大齋	(dà zhāi)
大齋節	(dà zhāi jié)
大齋期	(dà zhāi qī)
大寨	(dà zhài)
大戰	(dà zhàn)
大張旗鼓	(dà zhāng qí gǔ)
大張聲勢	(dà zhāng shēng shì)
大張撻伐	(dà zhāng tà fá)
大丈夫	(dà zhàng fu)
大丈夫能屈能伸	(dà zhàng fu néng qū néng shēn)
大昭寺	(dà zhāo sì)
大正	(dà zhèng)
大政方針	(dà zhèng fāng zhēn)
大隻	(dà zhī)
大指	(dà zhǐ)
大志	(dà zhì)
大致	(dà zhì)
大智慧	(dà zhì huì)
大智如愚	(dà zhì rú yú)
大智若愚	(dà zhì ruò yú)
大中華	(dà zhōng huá)
大中學生	(dà zhōng xué sheng)
大塚	(dà zhǒng)
大仲馬	(dà zhòng mǎ)
大眾	(dà zhòng)
大眾部	(dà zhòng bù)
大眾傳播	(dà zhòng chuán bō)
大眾化	(dà zhòng huà)
大眾捷運	(dà zhòng jié yùn)
大眾汽車	(dà zhòng qì chē)
大眾運輸	(dà zhòng yùn shū)
大洲	(dà zhōu)
大軸戲	(dà zhòu xì)
大朱雀	(dà zhū què)
大竹縣	(dà zhú xiàn)
大主教	(dà zhǔ jiào)
大專	(dà zhuān)
大篆	(dà zhuàn)
大轉	(dà zhuǎn)
大紫胸鸚鵡	(dà zǐ xiōng yīng wǔ)
大自然	(dà zì rán)
大字報	(dà zì bào)
大宗	(dà zōng)
大總統	(dà zǒng tǒng)
大足區	(dà zú qū)
大族	(dà zú)
大嘴巴	(dà zuǐ ba)
大嘴鳥	(dà zuǐ niǎo)
大嘴烏鴉	(dà zuǐ wū yā)
大作	(dà zuò)
呆	(dāi)
呆扳手	(dāi bān shǒu)
呆板	(dāi bǎn)
呆笨	(dāi bèn)
呆根	(dāi gēn)
呆瓜	(dāi guā)
呆會兒	(dāi huì r)
呆萌	(dāi méng)
呆若木雞	(dāi ruò mù jī)
呆傻	(dāi shǎ)
呆頭呆腦	(dāi tóu dāi nǎo)
呆站	(dāi zhàn)
呆帳	(dāi zhàng)
呆賬	(dāi zhàng)
呆滯	(dāi zhì)
呆住	(dāi zhù)
呆子	(dāi zi)
呔	(tǎi)
歹	(dǎi)
歹毒	(dǎi dú)
歹命	(dǎi mìng)
歹人	(dǎi rén)
歹勢	(dǎi shì)
歹徒	(dǎi tú)
歹意	(dǎi yì)
傣	(dǎi)
傣族	(dǎi zú)
代	(dài)
代班	(dài bān)
代辦	(dài bàn)
代筆	(dài bǐ)
代幣	(dài bì)
代表	(dài biǎo)
代表處	(dài biǎo chù)
代表隊	(dài biǎo duì)
代表人物	(dài biǎo rén wù)
代表團	(dài biǎo tuán)
代表性	(dài biǎo xìng)
代表作	(dài biǎo zuò)
代步	(dài bù)
代步車	(dài bù chē)
代餐	(dài cān)
代償	(dài cháng)
代稱	(dài chēng)
代詞	(dài cí)
代代	(dài dài)
代代相傳	(dài dài xiāng chuán)
代禱	(dài dǎo)
代頓	(dài dùn)
代爾夫特	(dài ěr fū tè)
代工	(dài gōng)
代溝	(dài gōu)
代購	(dài gòu)
代管	(dài guǎn)
代號	(dài hào)
代換	(dài huàn)
代際	(dài jì)
代價	(dài jià)
代駕	(dài jià)
代金券	(dài jīn quàn)
代考	(dài kǎo)
代可可脂	(dài kě kě zhī)
代客泊車	(dài kè bó chē)
代課	(dài kè)
代扣	(dài kòu)
代勞	(dài láo)
代理	(dài lǐ)
代理人	(dài lǐ rén)
代理商	(dài lǐ shāng)
代理孕母	(dài lǐ yùn mǔ)
代利斯	(dài lì sī)
代碼	(dài mǎ)
代碼段	(dài mǎ duàn)
代碼頁	(dài mǎ yè)
代名詞	(dài míng cí)
代母	(dài mǔ)
代拿買特	(dài ná mǎi tè)
代人受過	(dài rén shòu guò)
代入	(dài rù)
代收	(dài shōu)
代收貨款	(dài shōu huò kuǎn)
代書	(dài shū)
代數	(dài shù)
代數簇	(dài shù cù)
代數方程	(dài shù fāng chéng)
代數函數	(dài shù hán shù)
代數函數論	(dài shù hán shù lùn)
代數和	(dài shù hé)
代數幾何	(dài shù jǐ hé)
代數幾何學	(dài shù jǐ hé xué)
代數結構	(dài shù jié gòu)
代數量	(dài shù liàng)
代數曲面	(dài shù qū miàn)
代數曲線	(dài shù qū xiàn)
代數群	(dài shù qún)
代數式	(dài shù shì)
代數數域	(dài shù shù yù)
代數拓撲	(dài shù tuò pū)
代數學	(dài shù xué)
代糖	(dài táng)
代替	(dài tì)
代替父母	(dài tì fù mǔ)
代替者	(dài tì zhě)
代填	(dài tián)
代為	(dài wéi)
代縣	(dài xiàn)
代銷	(dài xiāo)
代銷店	(dài xiāo diàn)
代寫	(dài xiě)
代謝	(dài xiè)
代行	(dài xíng)
代言	(dài yán)
代言人	(dài yán rén)
代孕	(dài yùn)
代孕母親	(dài yùn mǔ qīn)
代之以	(dài zhī yǐ)
代指	(dài zhǐ)
代誌	(dài zhì)
代字	(dài zì)
代字號	(dài zì hào)
代宗	(dài zōng)
代罪	(dài zuì)
代罪羔羊	(dài zuì gāo yáng)
侢	(dài)
垈	(dài)
岱	(dài)
岱廟	(dài miào)
岱山縣	(dài shān xiàn)
岱嶽區	(dài yuè qū)
岱宗	(dài zōng)
殆	(dài)
殆盡	(dài jìn)
待	(dài)
待辦	(dài bàn)
待辦事項列表	(dài bàn shì xiàng liè biǎo)
待斃	(dài bì)
待產	(dài chǎn)
待定	(dài dìng)
待復	(dài fù)
待崗	(dài gǎng)
待會	(dāi hui)
待會兒	(dāi huì r)
待機	(dài jī)
待價而沽	(dài jià ér gū)
待見	(dài jian)
待解	(dài jiě)
待考	(dài kǎo)
待命	(dài mìng)
待人	(dài rén)
待人接物	(dài rén jiē wù)
待宵草	(dài xiāo cǎo)
待續	(dài xù)
待要	(dài yào)
待業	(dài yè)
待乙妥	(dài yǐ tuǒ)
待用餐	(dài yòng cān)
待遇	(dài yù)
待詔	(dài zhào)
待字	(dài zì)
怠	(dài)
怠惰	(dài duò)
怠工	(dài gōng)
怠忽	(dài hū)
怠慢	(dài màn)
怠速	(dài sù)
埭	(dài)
帶	(dài)
帶兵	(dài bīng)
帶病	(dài bìng)
帶刺	(dài cì)
帶大	(dài dà)
帶電	(dài diàn)
帶電粒子	(dài diàn lì zǐ)
帶調	(dài diào)
帶動	(dài dòng)
帶隊	(dài duì)
帶兒	(dài r)
帶分數	(dài fēn shù)
帶感	(dài gǎn)
帶給	(dài gěi)
帶過	(dài guò)
帶孩子	(dài hái zi)
帶紅色	(dài hóng sè)
帶壞	(dài huài)
帶回	(dài huí)
帶貨	(dài huò)
帶勁	(dài jìn)
帶菌者	(dài jūn zhě)
帶釦	(dài kòu)
帶寬	(dài kuān)
帶來	(dài lái)
帶累	(dài lěi)
帶領	(dài lǐng)
帶路	(dài lù)
帶路人	(dài lù rén)
帶露	(dài lù)
帶霉	(dài méi)
帶牛佩犢	(dài niú pèi dú)
帶氣	(dài qì)
帶去	(dài qu)
帶賽	(dài sài)
帶上	(dài shàng)
帶上門	(dài shàng mén)
帶頭	(dài tóu)
帶頭人	(dài tóu rén)
帶娃	(dài wá)
帶歪	(dài wāi)
帶孝	(dài xiào)
帶薪	(dài xīn)
帶薪休假	(dài xīn xiū jià)
帶有	(dài yǒu)
帶魚	(dài yú)
帶原者	(dài yuán zhě)
帶種	(dài zhǒng)
帶狀電纜	(dài zhuàng diàn lǎn)
帶狀皰疹	(dài zhuàng pào zhěn)
帶子	(dài zi)
帶走	(dài zǒu)
戴	(dài)
戴安娜	(dài ān nà)
戴安娜王妃	(dài ān nà wáng fēi)
戴奧辛	(dài ào xīn)
戴錶	(dài biǎo)
戴秉國	(dài bǐng guó)
戴爾	(dài ěr)
戴高帽子	(dài gāo mào zi)
戴菊	(dài jú)
戴菊鳥	(dài jú niǎo)
戴克里先	(dài kè lǐ xiān)
戴綠帽子	(dài lǜ mào zi)
戴帽子	(dài mào zi)
戴名世	(dài míng shì)
戴盆望天	(dài pén wàng tiān)
戴上	(dài shang)
戴勝	(dài shèng)
戴套	(dài tào)
戴維	(dài wéi)
戴維斯	(dài wéi sī)
戴維斯杯	(dài wéi sī bēi)
戴維營	(dài wéi yíng)
戴孝	(dài xiào)
亻	(rén)
卩	(jié)
丹	(dān)
丹巴縣	(dān bā xiàn)
丹布朗	(dān bù lǎng)
丹彩	(dān cǎi)
丹參	(dān shēn)
丹頂鶴	(dān dǐng hè)
丹東市	(dān dōng shì)
丹毒	(dān dú)
丹方	(dān fāng)
丹鳳	(dān fèng)
丹鳳縣	(dān fèng xiàn)
丹鳳眼	(dān fèng yǎn)
丹佛	(dān fó)
丹桂	(dān guì)
丹江口市	(dān jiāng kǒu shì)
丹稜縣	(dān líng xiàn)
丹麥	(dān mài)
丹麥包	(dān mài bāo)
丹尼	(dān ní)
丹尼爾	(dān ní ěr)
丹尼斯	(dān ní sī)
丹尼索瓦人	(dān ní suǒ wǎ rén)
丹寧	(dān níng)
丹皮	(dān pí)
丹魄	(dān pò)
丹青	(dān qīng)
丹沙	(dān shā)
丹砂	(dān shā)
丹田	(dān tián)
丹徒區	(dān tú qū)
丹霞	(dān xiá)
丹霞地貌	(dān xiá dì mào)
丹霞山	(dān xiá shān)
丹心	(dān xīn)
丹陽市	(dān yáng shì)
丹藥	(dān yào)
丹寨縣	(dān zhài xiàn)
丹衷	(dān zhōng)
妉	(dān)
單	(dān)
單擺	(dān bǎi)
單班課	(dān bān kè)
單板滑雪	(dān bǎn huá xuě)
單板機	(dān bǎn jī)
單瓣	(dān bàn)
單胞藻	(dān bāo zǎo)
單薄	(dān bó)
單倍體	(dān bèi tǐ)
單邊	(dān biān)
單邊主義	(dān biān zhǔ yì)
單兵	(dān bīng)
單側	(dān cè)
單層	(dān céng)
單層塔	(dān céng tǎ)
單產	(dān chǎn)
單車	(dān chē)
單車族	(dān chē zú)
單程	(dān chéng)
單傳	(dān chuán)
單純	(dān chún)
單純詞	(dān chún cí)
單純皰疹	(dān chún pào zhěn)
單純皰疹病毒	(dān chún pào zhěn bìng dú)
單詞	(dān cí)
單叢	(dān cóng)
單打	(dān dǎ)
單打獨鬥	(dān dǎ dú dòu)
單單	(dān dān)
單刀赴會	(dān dāo fù huì)
單刀直入	(dān dāo zhí rù)
單點	(dān diǎn)
單點登錄	(dān diǎn dēng lù)
單點故障	(dān diǎn gù zhàng)
單調	(dān diào)
單調乏味	(dān diào fá wèi)
單獨	(dān dú)
單端	(dān duān)
單反相機	(dān fǎn xiàng jī)
單方	(dān fāng)
單方過失碰撞	(dān fāng guò shī pèng zhuàng)
單方面	(dān fāng miàn)
單方向	(dān fāng xiàng)
單方宣告	(dān fāng xuān gào)
單方製劑	(dān fāng zhì jì)
單房差	(dān fáng chā)
單放機	(dān fàng jī)
單非	(dān fēi)
單飛	(dān fēi)
單峰駝	(dān fēng tuó)
單幹	(dān gàn)
單槓	(dān gàng)
單個	(dān ge)
單個兒	(dān gè r)
單鉻	(dān gè)
單根獨苗	(dān gēn dú miáo)
單軌	(dān guǐ)
單過	(dān guò)
單號	(dān hào)
單核細胞	(dān hé xì bāo)
單核細胞增多症	(dān hé xì bāo zēng duō zhèng)
單簧管	(dān huáng guǎn)
單擊	(dān jī)
單極	(dān jí)
單價	(dān jià)
單肩包	(dān jiān bāo)
單間差	(dān jiān chā)
單鍵	(dān jiàn)
單腳滑行車	(dān jiǎo huá xíng chē)
單腳跳	(dān jiǎo tiào)
單晶	(dān jīng)
單鏡反光相機	(dān jìng fǎn guāng xiàng jī)
單句	(dān jù)
單據	(dān jù)
單抗	(dān kàng)
單克隆抗體	(dān kè lóng kàng tǐ)
單口相聲	(dān kǒu xiàng shēng)
單褲	(dān kù)
單連接站	(dān lián jiē zhàn)
單鏈	(dān liàn)
單戀	(dān liàn)
單另	(dān lìng)
單輪車	(dān lún chē)
單盲	(dān máng)
單模	(dān mó)
單模光纖	(dān mó guāng xiān)
單寧	(dān níng)
單寧酸	(dān níng suān)
單片機	(dān piàn jī)
單品	(dān pǐn)
單槍匹馬	(dān qiāng pǐ mǎ)
單親	(dān qīn)
單親家庭	(dān qīn jiā tíng)
單曲	(dān qǔ)
單人	(dān rén)
單人床	(dān rén chuáng)
單人間	(dān rén jiān)
單人匹馬	(dān rén pǐ mǎ)
單人沙發	(dān rén shā fā)
單日	(dān rì)
單色	(dān sè)
單色畫	(dān sè huà)
單色照片	(dān sè zhào piàn)
單射	(dān shè)
單身	(dān shēn)
單身狗	(dān shēn gǒu)
單身貴族	(dān shēn guì zú)
單身漢	(dān shēn hàn)
單身汪	(dān shēn wāng)
單手	(dān shǒu)
單數	(dān shù)
單絲不成線，獨木不成林	(dān sī bù chéng xiàn , dú mù bù chéng lín)
單速車	(dān sù chē)
單糖	(dān táng)
單趟	(dān tàng)
單套	(dān tào)
單體	(dān tǐ)
單挑	(dān tiǎo)
單團	(dān tuán)
單位	(dān wèi)
單位犯罪	(dān wèi fàn zuì)
單位根	(dān wèi gēn)
單位切向量	(dān wèi qiē xiàng liàng)
單位向量	(dān wèi xiàng liàng)
單位信托	(dān wèi xìn tuō)
單位元	(dān wèi yuán)
單味藥	(dān wèi yào)
單穩	(dān wěn)
單細胞	(dān xì bāo)
單細胞生物	(dān xì bāo shēng wù)
單縣	(shàn xiàn)
單相	(dān xiàng)
單相思	(dān xiāng sī)
單向	(dān xiàng)
單向電流	(dān xiàng diàn liú)
單項	(dān xiàng)
單鞋	(dān xié)
單行	(dān xíng)
單行本	(dān xíng běn)
單行道	(dān xíng dào)
單行線	(dān xíng xiàn)
單姓	(dān xìng)
單眼	(dān yǎn)
單眼皮	(dān yǎn pí)
單眼相機	(dān yǎn xiàng jī)
單葉雙曲面	(dān yè shuāng qū miàn)
單一	(dān yī)
單一登入	(dān yī dēng rù)
單一貨幣	(dān yī huò bì)
單一碼	(dān yī mǎ)
單衣	(dān yī)
單意	(dān yì)
單翼飛機	(dān yì fēi jī)
單音詞	(dān yīn cí)
單音節	(dān yīn jié)
單引號	(dān yǐn hào)
單用	(dān yòng)
單于	(chán yú)
單語	(dān yǔ)
單元	(dān yuán)
單元房	(dān yuán fáng)
單元格	(dān yuán gé)
單源論	(dān yuán lùn)
單院制	(dān yuàn zhì)
單月	(dān yuè)
單韻母	(dān yùn mǔ)
單張	(dān zhāng)
單張匯票	(dān zhāng huì piào)
單證	(dān zhèng)
單質	(dān zhì)
單子	(dān zǐ)
單子葉	(dān zǐ yè)
單字	(dān zì)
㐤	(qiú)
媅	(dān)
儋	(dān)
儋縣	(dān xiàn)
儋州市	(dān zhōu shì)
勯	(dān)
殫	(dān)
殫殘	(dān cán)
殫竭	(dān jié)
殫精極慮	(dān jīng jí lǜ)
殫精竭慮	(dān jīng jié lǜ)
殫力	(dān lì)
殫悶	(dān mèn)
殫心	(dān xīn)
亶	(dǎn)
撣	(dǎn)
撣邦	(shàn bāng)
撣邦高原	(shàn bāng gāo yuán)
撣子	(dǎn zi)
擔	(dàn)
擔保	(dān bǎo)
擔承	(dān chéng)
擔待	(dān dài)
擔擔麵	(dàn dàn miàn)
擔當	(dān dāng)
擔負	(dān fù)
擔綱	(dān gāng)
擔擱	(dān ge)
擔荷	(dān hè)
擔架	(dān jià)
擔架兵	(dān jià bīng)
擔架床	(dān jià chuáng)
擔架抬	(dān jià tái)
擔驚受怕	(dān jīng shòu pà)
擔任	(dān rèn)
擔誤	(dān wu)
擔心	(dān xīn)
擔憂	(dān yōu)
擔懮	(dān yōu)
擔仔麵	(dàn zǎi miàn)
擔子	(dàn zi)
旦	(dàn)
旦角	(dàn jué)
但	(dàn)
但丁	(dàn dīng)
但凡	(dàn fán)
但尼生	(dàn ní shēng)
但是	(dàn shì)
但書	(dàn shū)
但說無妨	(dàn shuō wú fáng)
但以理書	(dàn yǐ lǐ shū)
但願	(dàn yuàn)
但願如此	(dàn yuàn rú cǐ)
柦	(dàn)
啗	(dàn)
啖	(dàn)
噉	(dàn)
僤	(dàn)
憚	(dàn)
彈	(tán)
彈撥	(tán bō)
彈撥樂	(tán bō yuè)
彈撥樂器	(tán bō yuè qì)
彈唱	(tán chàng)
彈斥	(tán chì)
彈出	(tán chū)
彈窗	(tán chuāng)
彈詞	(tán cí)
彈道	(dàn dào)
彈道導彈	(dàn dào dǎo dàn)
彈弓	(dàn gōng)
彈冠相慶	(tán guān xiāng qìng)
彈劾	(tán hé)
彈痕	(dàn hén)
彈痕累累	(dàn hén lěi lěi)
彈花	(tán huā)
彈簧	(tán huáng)
彈簧秤	(tán huáng chèng)
彈簧刀	(tán huáng dāo)
彈簧墊圈	(tán huáng diàn quān)
彈簧門	(tán huáng mén)
彈簧鎖	(tán huáng suǒ)
彈回	(tán huí)
彈夾	(dàn jiā)
彈盡糧絕	(dàn jìn liáng jué)
彈盡援絕	(dàn jìn yuán jué)
彈糾	(tán jiū)
彈坑	(dàn kēng)
彈孔	(dàn kǒng)
彈力	(tán lì)
彈幕	(dàn mù)
彈片	(dàn piàn)
彈殼	(dàn ké)
彈琴	(tán qín)
彈球	(tán qiú)
彈球盤	(tán qiú pán)
彈舌	(tán shé)
彈射	(tán shè)
彈射座艙	(tán shè zuò cāng)
彈射座椅	(tán shè zuò yǐ)
彈跳	(tán tiào)
彈跳板	(tán tiào bǎn)
彈頭	(dàn tóu)
彈塗魚	(tán tú yú)
彈丸	(dàn wán)
彈丸之地	(dàn wán zhī dì)
彈匣	(dàn xiá)
彈性	(tán xìng)
彈性模量	(tán xìng mó liàng)
彈性形變	(tán xìng xíng biàn)
彈壓	(tán yā)
彈牙	(tán yá)
彈藥	(dàn yào)
彈藥補給站	(dàn yào bǔ jǐ zhàn)
彈藥庫	(dàn yào kù)
彈雨	(dàn yǔ)
彈指	(tán zhǐ)
彈指一揮間	(tán zhǐ yī huī jiān)
彈指之間	(tán zhǐ zhī jiān)
彈珠	(dàn zhū)
彈珠機	(dàn zhū jī)
彈珠檯	(dàn zhū tái)
彈子	(dàn zi)
彈子鎖	(dàn zi suǒ)
彈奏	(tán zòu)
憺	(dàn)
噹	(dāng)
噹噹	(dāng dāng)
噹噹車	(dāng dāng chē)
噹啷	(dāng lāng)
擋	(dǎng)
擋拆	(dǎng chāi)
擋風玻璃	(dǎng fēng bō li)
擋風牆	(dǎng fēng qiáng)
擋駕	(dǎng jià)
擋箭牌	(dǎng jiàn pái)
擋郎	(dǎng láng)
擋瑯	(dǎng láng)
擋鋃	(dǎng láng)
擋路	(dǎng lù)
擋泥板	(dǎng ní bǎn)
擋位	(dǎng wèi)
擋雨	(dǎng yǔ)
擋住	(dǎng zhù)
檔	(dàng)
檔案	(dàng àn)
檔案傳輸協定	(dàng àn chuán shū xié dìng)
檔案袋	(dàng àn dài)
檔案館	(dàng àn guǎn)
檔案盒	(dàng àn hé)
檔案夾	(dàng àn jiā)
檔案總管	(dàng àn zǒng guǎn)
檔次	(dàng cì)
檔口	(dàng kǒu)
檔期	(dàng qī)
檔子	(dàng zi)
攩	(dǎng)
凼	(dàng)
凼肥	(dàng féi)
凼子	(dàng zi)
宕	(dàng)
宕昌縣	(tàn chāng xiàn)
宕機	(dàng jī)
愓	(dàng)
儅	(dāng)
壋	(dàng)
刀	(dāo)
刀疤	(dāo bā)
刀背	(dāo bèi)
刀筆	(dāo bǐ)
刀不磨要生鏽，人不學要落後	(dāo bù mó yào shēng xiù , rén bù xué yào luò hòu)
刀叉	(dāo chā)
刀鋒	(dāo fēng)
刀斧手	(dāo fǔ shǒu)
刀耕火種	(dāo gēng huǒ zhòng)
刀工	(dāo gōng)
刀光劍影	(dāo guāng jiàn yǐng)
刀光血影	(dāo guāng xuè yǐng)
刀劍	(dāo jiàn)
刀具	(dāo jù)
刀鋸鼎鑊	(dāo jù dǐng huò)
刀鋸斧鉞	(dāo jù fǔ yuè)
刀客	(dāo kè)
刀口	(dāo kǒu)
刀庫	(dāo kù)
刀郎	(dāo láng)
刀螂	(dāo lang)
刀類	(dāo lèi)
刀馬旦	(dāo mǎ dàn)
刀片	(dāo piàn)
刀片刺網	(dāo piàn cì wǎng)
